country,population,area_square_km,density_square_km,average_years_of_school,auto_demo_polity,gdp_per_capita,happiness_index,freedom_index,less_corruption_index,life_expectancy_years,inequality_gini,median_household_income_dollars,median_per_capita_income_dollars,median_individual_income_dollars
Israel,8789.774,20770,423.1957,8.27,6.0,34850.781,7.278,0.41319,0.07785,82.34,39.0,30364.0,7847.0,43290.0
Switzerland,8715.494,41284,211.1107,9.76,10.0,62835.66,7.587,0.66557,0.41978,83.142,32.7,7437.5,1790.5,85500.0
Serbia,8697.55,88361,98.432,5.27,8.0,13624.435,5.123,0.20107,0.02617,75.309,36.2,8921.0,3020.0,7020.0
Togo,8478.25,56785,149.3044,0.48,-2.0,1524.0685,2.839,0.36453,0.10731,59.927,43.1,571.0,279.0,11480.0
Sierra Leone,8141.343,71740,113.484,0.58,7.0,1284.2432,4.507,0.4084,0.08786,52.941,35.7,2330.0,233.0,11480.0
Hong Kong,7552.81,1104,6841.3134,3.38,7.5,39773.152,5.474,0.59608,0.37124,84.043,53.9,35443.0,9705.0,50840.0
Laos,7379.358,236800,31.1628,1.4,-7.0,5854.8647,4.876,0.59591,0.24249,66.546,36.4,3379.0,615.0,2570.0
Paraguay,7219.638,406752,17.7495,3.74,9.0,7785.7896,5.878,0.53899,0.08242,73.662,46.2,6179.0,1292.0,11480.0
Bulgaria,6896.663,110879,62.1999,5.5,9.0,16726.297,4.218,0.30587,0.00872,74.584,40.4,8487.0,2829.0,9410.0
Lebanon,6769.146,10452,647.6412,3.38,6.0,15061.264,4.839,0.33916,0.04582,78.768,31.8,13004.0,2960.0,11480.0
Nicaragua,6702.385,130373,51.4093,2.65,9.0,4816.981,5.828,0.55475,0.19317,73.649,46.2,6488.0,1173.0,11480.0
Kyrgyzstan,6628.356,199951,33.1499,5.32,7.0,7149.1641,5.286,0.43477,0.04232,70.876,27.7,4034.0,828.0,11480.0
El Salvador,6518.499,21041,309.7999,2.28,8.0,6502.2905,6.13,0.4035,0.11776,72.412,38.6,4828.0,1114.0,11480.0
Singapore,5896.686,710,8305.1915,3.76,-2.0,65360.742,6.798,0.54252,0.4921,82.877,45.9,32360.0,7345.0,59590.0
Denmark,5813.298,43094,134.8981,5.79,10.0,42843.965,7.527,0.64938,0.48357,80.475,28.7,44360.0,18262.0,63240.0
Finland,5548.36,338424,16.3947,5.4,10.0,37691.355,7.406,0.64169,0.41372,81.196,27.4,24615.0,15725.0,49580.0
Norway,5465.63,323802,16.8795,8.27,10.0,62841.77,7.522,0.66973,0.36503,81.912,27.0,51489.0,19308.0,82500.0
